text,label
sketch technical design for billing gateway,tdo_drafting
pls anyone on sick leave betwene 2 Jan and 7 Jan,absence
Hey what is the budget for mobile app,cost_estimation
draft a TDO for data pipeline,tdo_drafting
record Sara as on leave today,absence
reocrd Sara as on leave tomorrow,absence
Assistant anyone on sick leave between 1st and 7th,absence
TCO estimate for caht service,cost_estimation
SET RAHUL AS ABSENT TOMORROW 🙏,absence
HEY RECORD MEERA AS ON LEAVE TOMORROW 🚀,absence
outline architecture for mobile app,tdo_drafting
hey log Rahul as absetn tomorrow,absence
cost prediction for inventory system thanks,cost_estimation
rceord Sara as on leave on 2025-09-01,absence
set Vikram as absent today,absence
record Anil as on levae on 2205-09-01,absence
log Aman as absent today,absence
Piad leave policy pdf thanks,OUT_OF_SCOPE
bro flag Anil on PTO today,absence
hi leave status for for the past 2 weeks,absence
LOG SANJAY AS ABSENT TODAY,absence
put Sara on leave on 2025-09-01,absence
draft a TDO for billing gateway,tdo_drafting
ASSISTANT LOG NITIN AS CHUTTI ON 2025-09-01,absence
assistant attendance report tomorrow,absence
who is on leave for the past 2 weeks,absence
CREATE A TECHNICAL DESIGN OUTLINE FOR AUTHENTICATION SERVICE THANKS,tdo_drafting
bro record Sara as on leave on 2025-09-01,absence
record Kiran as on leave on 2025-09-01,absence
mark Aisha absent today,absence
create a technical design outline for ETL pipeline,tdo_drafting
Pls set asiha as chutti tomorrow 🚀,absence
draft a TDO for React front-end,tdo_drafting
who all were out lats week,absence
set Pooja as absent today,absence
flag Arjun on PTO on 2025-09-01 asap,absence
absent list next week,absence
who was out for the past 2 weeks,absence
predict infra costs for payrlol service,cost_estimation
FLAG ROHIT ON PTO ON 2025-09-01,absence
put Gaurav on leave tomorrow,absence
assistant record Vikrma as on leave tomorrow,absence
set Neha as absent on 2025-09-01,absence
TCO estimate for analytics dashboard,cost_estimation
Who was chutti lats week,absence
BRO BANADO A TDO FOR INVENTORY SYSTEM,tdo_drafting
record Sneha as on leave tomororw,absence
sketch technical design for payroll service,tdo_drafting
bro put Sanjay on leave today,absence
assistant TCO estimate for absence API,cost_estimation
Set rahul as absent on 2025-09-01 🙏,absence
put Sara on chutti today,absence
assistant log Manju as absent tomorrow ok,absence
TCO estimate for React front-end,cost_estimation
log Priya as absent today,absence
set Nitin as absent today,absence
record Kiran as on leaev on 2025-09-01,absence
bro ballpark costs for reservation API,cost_estimation
estimate kharcha for notification system,cost_estimation
hey record Deepa as on leave tomorrow,absence
yo log Rahlu as absent tomorrow,absence
bro flag Rahul on PTO tomorrow,absence
flag Priya on PTO today,absence
kaun was absent on 2025-09-01,absence
set Isha as abesnt on 2025-09-01 ok,absence
banado spec for billing gateway,tdo_drafting
banado HLD for billing gatewya 🙏,tdo_drafting
sketch technical design for reservation API,tdo_drafting
log Kiarn as absent today asap,absence
who had PTO next weke,absence
Draft a tdo for chat service thanks,tdo_drafting
ballpark costs for analytics dashboard,cost_estimation
Yo costco membership price,OUT_OF_SCOPE
Pls set gaurav as absent today,absence
record Rahul as on leave tomorrow,absence
Hey mark sanjay absent today,absence
bro who had PTO on 2025-09-01,absence
who took PTO for the past 2 weeks,absence
who is on leave next month,absence
roguh bugdet for Kubernetes migration,cost_estimation
delete my account,OUT_OF_SCOPE
put Manju on leave tomorrow,absence
Bro outline architecture for kubernetes migration,tdo_drafting
anyone on sick leave next month,absence
bro mark Kiran absent tomorrow,absence
yo preidct infra costs for notification system ok,cost_estimation
Yo set arjun as absnet on 2025-09-01,absence
log Aisha as absent tomorrow,absence
set Gaurav as absent today,absence
yo who was out on Friday,absence
log Pooja as absent tomorrow,absence
log Arjun as absent tomorrow,absence
who all were out on Friday,absence
PLS MARK POOJA ABSENT TOMORROW,absence
estimate cost for Kubernetes migration 🚀,cost_estimation
record Gaurav as on leave tomorrow,absence
assistant forecast bugdet for reporting module,cost_estimation
set Sanjay as absent on 2025-09-01,absence
HEY ATTENDANCE REPORT TOADY 🙏,absence
who took PTO for Q3,absence
rough budget for authnetication service,cost_estimation
set Vikram as absent on 2025-09-01,absence
yo predict infra costs for inventory system,cost_estimation
absent list for Q3,absence
bro record Isha as on levae on 2025-09-01 🙏,absence
cost prediction for ETL pipeline,cost_estimation
PLS SHOW ABSENCES THIS WEEK 🚀,absence
assistant predict infra costs for payroll service thanks,cost_estimation
hi anyone on sick leave last week,absence
FLAG NTIIN ON PTO TOMORROW,absence
attendance summary yesterday,absence
YO FLAG POOJA ON PTO TOMORROW,absence
flag Neha on PTO today,absence
hi chutti minded professor movie ok,OUT_OF_SCOPE
absent list on Monday,absence
draft a TDO for absence API,tdo_drafting
Yo estimate cost for absence api,cost_estimation
set Meera as absent on 2025-09-01,absence
who all were out between 2 Jan and 7 Jan 🚀,absence
ANYONE ON SICK LEAVE TOMORROW,absence
Ruogh budget for inevntory system,cost_estimation
Hey attendance report for q3 ok,absence
Log amna as absent tomorrow thanks,absence
YO SHOW ABSENCES FOR Q3,absence
hey TCO estimate for mobile app,cost_estimation
hey to-do vs TDO difference 🙏,OUT_OF_SCOPE
ASSISTANT SHOW ABSENCES TODAY,absence
hey prepare an architecture doc for payroll service,tdo_drafting
Log aman as absent today,absence
Yo set aisha as absent today thanks,absence
cots prediction for billing gateway urgent,cost_estimation
ASSISTANT WHO IS ON LEAVE TOMORROW,absence
forecast budget for invoice microservice,cost_estimation
cost center mapping,OUT_OF_SCOPE
absent list today,absence
mrak Pirya absent tomorrow ok,absence
put Deepa on leave tomorrow,absence
hey mark Rahul absent today,absence
assistant log Nitin as absent on 2025-09-01,absence
flag Vikram on PTO tomorrow,absence
Assistant kaun took pto on friday,absence
mark Nhea abesnt tomorrow,absence
mark Sanjay absent today 🙏,absence
who was absent on Monday,absence
create a techincal design outline for chat service ok,tdo_drafting
who all were out yesterday,absence
hi set Neha as absetn on 2025-09-01 asap,absence
record Manju as on leave tomorrow,absence
hi attednance summary in August,absence
SET RAJ AS ABSENT TOMORROW,absence
YO LOG ARJUN AS ABSENT TODAY,absence
show absences yesterday,absence
mark Aisha chutti on 2025-09-01 asap,absence
HEY SET RAVI AS ABSENT TOMORROW,absence
absent minded today,OUT_OF_SCOPE
Flag vikram on pto on 2025-09-01 thanks,absence
set Gaurav as absent today,absence
TCO estimate for authentication service thanks,cost_estimation
CAPEX/OPEX FOR ANALYTICS DASHBOARD,cost_estimation
who was out last week,absence
log Priya as absent tomorrow,absence
pls anyone on sick leave on Monday,absence
put Rahul on leave on 2025-09-01,absence
pls waht's the weather in Paris,OUT_OF_SCOPE
costco membership price,OUT_OF_SCOPE
who was absent next week,absence
who had PTO next month,absence
kaun took PTO for the past 2 weeks,absence
hey darft HLD for Recat front-end,tdo_drafting
sketch technical design for authentication service,tdo_drafting
yo put Sanjay on leave today,absence
ABSENT LIST TOMORROW ASAP,absence
absent list between 1st and 7th,absence
log Sara as absent tomorrow,absence
yo set Rahul as absent tomorrow 🚀,absence
SET AMAN AS ABSENT TOMORROW 🚀,absence
rceord Rahul as on laeve today,absence
put Kiran on leave today,absence
bro set Sneha as absent on 2025-09-01,absence
sketch technical desgin for React front-ned,tdo_drafting
who all were out in August,absence
ASSISTANT SET VIKRAM AS ABSENT ON 2025-0-901,absence
YO WHAT DOES TDO STAND FOR THANKS,OUT_OF_SCOPE
log Neha as absent toady,absence
set Sara as absent today 🙏,absence
hi who was absent tomorrow asap,absence
put Arjun on leave today,absence
prepare an architecture doc for data pipeline,tdo_drafting
forecast budget for reservation API,cost_estimation
outline architecture for data pipeline,tdo_drafting
Hey cost predictoin for invoice microservice asap,cost_estimation
PUT ANIL ON CHUTTI TODAY,absence
create a technical design outline for reservation API,tdo_drafting
bro flag Sara on PTO tomorrow,absence
put Neha on leave tomorrow,absence
Hi log arjun as absent today urgent,absence
TCO andaza for reservation API 🙏,cost_estimation
LOG AMAN AS ABSENT TODAY,absence
hey who had PTO today thanks,absence
set Rohit as absent tomorrow,absence
draft HLD for inventory system,tdo_drafting
sketch technical design for mobile app,tdo_drafting
yo kaun is on leave today,absence
Hi banado spec for react front-end thanks,tdo_drafting
pls mark Ravi absent today urgent,absence
Cerate a technical design outilne for payrlol serivce thanks,tdo_drafting
flag Deepa on PTO on 2025-09-01,absence
put Nitin on leave tdoay,absence
draft a TDO for inventory system,tdo_drafting
record Kiran as on chutti today,absence
ASSISTANT ABSENT LIST THIS WEEK,absence
set Nitin as absent on 2025-09-01,absence
tell me a joke,OUT_OF_SCOPE
log Sanjay as absent on 2025-09-01,absence
put Deepa on laeve today urgent,absence
mark Manju absent today,absence
capex/opex for Kubernetes migration urgent,cost_estimation
LOG NITIN AS ABSENT TODAY,absence
log Deeap as absent today ok,absence
absent list last month,absence
HI PREPARE AN ARCHITECTURE DOC FOR MOBILE APP,tdo_drafting
set Isha as absent today,absence
PREPARE AN ARCHITECTURE DOC FOR MOBILE APP 🚀,tdo_drafting
Hey draft a tdo for etl pipeline,tdo_drafting
pls put Gaurav on leave tomorrow,absence
Sketch technical desgin for mobile app,tdo_drafting
attendance report today,absence
Bro put deepa on leave tomorrow,absence
Sketch technical design for analytics dashboadr urgent,tdo_drafting
pls mark Rahul absent today,absence
ballpark costs for chat service,cost_estimation
log Gaurav as absent on 2025-09-01,absence
leave status for for Q3,absence
who all were out next week urgent,absence
bro mark Raj absent today,absence
l1o validation,OUT_OF_SCOPE
predict infra costs for absence API,cost_estimation
put Sneha on leave today,absence
bro draft spec for ETL pipeline,tdo_drafting
flag Aisha on PTO tomorrow,absence
log Sneha as absent on 2025-09-01,absence
flag Ainl on PTO tomorrow,absence
bro mark Anil absent today,absence
yo mark Sara absent today 🙏,absence
who took PTO for the last 10 days,absence
put Aisha on leave tomorrow thanks,absence
Ballpark costs for authentication service,cost_estimation
rceord Sraa as on leaev tomorrow,absence
mark Arjun absent today,absence
Who took pto this week,absence
pls log Sanjay as absent tomorrow,absence
Attendance summary last month,absence
assistant log Rohit as absent todya urgent,absence
mark Sneha absent today,absence
MARK AMAN ASBENT TODAY,absence
log Priya as absent today,absence
flag Isha on PTO on 2025-09-01,absence
assistant cost prediction for reservation API,cost_estimation
ABSORPTION COSTING EXAMPLE ASAP,OUT_OF_SCOPE
who had PTO this week,absence
bro log Kiran as chutti today,absence
log Priya as absent on 2025-09-01,absence
set Rohit as absent today,absence
cost prediction for reservation API,cost_estimation
log Sara as absent on 2025-090-1,absence
PLS ABSENT LIST IN AUGUST,absence
record Sneha as on leave on 2025-09-01,absence
flag Sanjay on PTO tomorrow,absence
ballpark costs for analytics dashboard urgent,cost_estimation
PREDICT INFRA COSTS FOR ANALYTICS DASHBOARD,cost_estimation
attendance repotr between 1st and 7th,absence
log Priya as absent today,absence
WHAT DEOS TDO STNAD FOR OK,OUT_OF_SCOPE
flag Priya on PTO on 2025-09-01,absence
Recodr nitni as on leave on 2025-09-01,absence
hi show absences tomorrow asap,absence
HI ETSIMATE COST FOR MOBILE APP 🚀,cost_estimation
flag Deepa on PTO tomorrow,absence
put Neha on leave on 2025-09-01,absence
pls recodr Manju as on leave on 20250-9-01,absence
LOG MEERA AS ABSENT TODAY,absence
mark Nitin absent today,absence
recodr Sneha as on leave toomrrow,absence
TCO estimate for chat service,cost_estimation
rough budget for Kubernetes migration 🙏,cost_estimation
who all were out next week,absence
create a technical design outline for Kubernetes migration,tdo_drafting
put Priya on leave today,absence
sketch technical design for absence API,tdo_drafting
who was abesnt last week,absence
show absences tomorrow,absence
rough budget for mobile app,cost_estimation
hi draft HLD for Kubernetes migration,tdo_drafting
attendance summary next month,absence
predict infra costs for payroll service,cost_estimation
who was absent between 1st and 7th,absence
Pls predict infra costs for mobiel app,cost_estimation
create a technical design outline for data pipeline,tdo_drafting
hey record Manju as on leave today 🙏,absence
bro put Neha on leave today urgent,absence
cost center codes,OUT_OF_SCOPE
absent list for the last 10 days,absence
absent list last week,absence
PUT RAJ ON LEAVE TOADY 🙏,absence
set Priya as chutti tomorrow,absence
yo who was absent for the past 2 weeks,absence
predict infra costs for ETL pipeline,cost_estimation
assistant attendance summary for the last 10 days,absence
record Priya as on chutti today ok,absence
TCO estimate for chat service,cost_estimation
MARK ARJNU ABSENT TOMORROW THANKS,absence
mark Nitin absent tomorrow thanks,absence
Bro who took pto last month,absence
absent list between 2 Jan and 7 Jan,absence
rough budget for inventory system,cost_estimation
assistant prepare an architecture doc for billing gateway,tdo_drafting
hi log Nitin as absent today asap,absence
mark Meera absent on 20250-9-01,absence
forecast budget for invoice microservice,cost_estimation
flag Arjun on PTO today,absence
Rough budget for billnig gatweay,cost_estimation
flag Depea on PTO on 2025-09-01,absence
yo attendance report on Monday ok,absence
<script>alert(1)</script>,OUT_OF_SCOPE
leave status for today,absence
log Kiran as absent today,absence
who was absent on Friday,absence
set Sara as absent tomorrow,absence
Who is on leave on 20250-9-01,absence
